comp gfa{AM,AC,CR}
Ag5.5Cu87P7.5 CR
Ag9Cu82.5P8.5 CR
Ag9Cu85P6 CR
Ag0Mg84Y16 AM
Ag5Mg80Y15 AM
Ag10Mg60Y30 AM
Ag10Mg70Y20 AM
Ag10Mg80Y10 AM
Ag15Mg80Y5 AM
Ag20Mg30Y50 AM
Ag20Mg40Y40 AM
Ag20Mg50Y30 AM
Ag20Mg60Y20 AM
Ag20Mg70Y10 AM
Ag25Mg60Y15 AM
Ag25Mg65Y10 AM
Ag25Mg70Y5 AM
Ag30Mg30Y40 AM
Ag30Mg40Y30 AM
Ag30Mg50Y20 AM
Ag30Mg55Y15 AM
Ag30Mg60Y10 AM
Ag40Mg30Y30 AM
Ag40Mg40Y20 AM
Ag40Mg50Y10 AM
Ag50Mg30Y20 AM
Ag0Mg80Y20 AC
Ag0Mg87.5Y12.5 AC
Ag5Mg85Y10 AC
Ag10Mg50Y40 AC
Ag10Mg85Y5 AC
Ag20Mg20Y60 AC
Ag50Mg20Y30 AC
Ag60Mg20Y20 AC
Ag0Mg75Y25 CR
Ag0Mg90Y10 CR
Ag0Mg95Y5 CR
Ag5Mg90Y5 CR
Ag30Mg20Y50 CR
Ag40Mg20Y40 CR
Ag50Mg40Y10 CR
Ag0Pd79Si21 AM
Ag0Pd80Si20 AM
Ag0Pd82Si18 AM
Ag0Pd84Si16 AM
Ag0Pd85Si15 AM
Ag4.5Pd75.5Si20 AM
Ag4.5Pd79Si16.5 AM
Ag5Pd77Si18 AM
Ag5Pd79Si16 AM
Ag5.5Pd78Si16.5 AM
Ag8.5Pd75Si16.5 AM
Ag4Pd79.5Si16.5 AM
Ag1.7Pd81.8Si16.5 AM
Ag4.2Pd79.3Si16.5 AM
Ag6.7Pd76.8Si16.5 AM
Ag10Pd73.5Si16.5 AM
Ag12.5Pd71Si16.5 AM
Ag15Pd68.5Si16.5 AM
Ag4.5Pd75.5Si20 AM
Ag6Pd77.5Si16.5 AM
Ag20.9Pd62.6Si16.5 CR
Al25Au20La55 AM
Al0B18Co82 AM
Al0B22Co78 AM
Al0B26Co74 AM
Al0B30Co70 AM
Al0B36Co64 AM
Al0B38Co62 AM
Al0B40Co60 AM
Al4B18Co78 AM
Al4B22Co74 AM
Al4B26Co70 AM
Al4B30Co66 AM
Al4B34Co62 AM
Al8B18Co74 AM
Al8B22Co70 AM
Al8B26Co66 AM
Al8B30Co62 AM
Al8B34Co58 AM
Al12B18Co70 AM
Al12B22Co66 AM
Al12B26Co62 AM
Al12B30Co58 AM
Al12B34Co54 AM
Al12B38Co50 AM
Al16B14Co70 AM
Al16B18Co66 AM
Al16B22Co62 AM
Al16B26Co58 AM
Al16B30Co54 AM
Al16B34Co50 AM
Al20B26Co54 AM
Al20B30Co50 AM
Al20B34Co46 AM
Al20B38Co42 AM
Al24B26Co50 AM
Al24B34Co42 AM
Al24B40Co36 AM
Al8B14Co78 AC
Al12B14Co74 AC
Al20B18Co62 AC
Al20B22Co58 AC
Al4B10Co86 CR
Al4B14Co82 CR
Al8B10Co82 CR
Al12B6Co82 CR
Al12B10Co78 CR
Al16B10Co74 CR
Al20B10Co70 CR
Al20B14Co66 CR
Al24B22Co54 CR
Al0B13Fe87 AM
Al0B18Fe82 AM
Al0B22Fe78 AM
Al4B14Fe82 AM
Al4B18Fe78 AM
Al4B22Fe74 AM
Al8B14Fe78 AM
Al8B18Fe74 AM
Al8B22Fe70 AM
Al12B14Fe74 AM
Al12B22Fe66 AM
Al16B14Fe70 AM
Al16B18Fe66 AM
Al16B22Fe62 AM
Al16B26Fe58 AM
Al20B14Fe66 AM
Al20B18Fe62 AM
Al20B26Fe54 AM
Al20B30Fe50 AM
Al20B34Fe46 AM
Al4B10Fe86 CR
Al8B10Fe82 CR
Al12B6Fe82 CR
Al12B10Fe78 CR
Al16B10Fe74 CR
Al0B18Ni82 AM
Al0B30Ni70 AM
Al0B34Ni66 AM
Al0B38Ni62 AM
Al0B40Ni60 AM
Al0B42Ni58 AM
Al4B18Ni78 AM
Al4B22Ni74 AM
Al4B26Ni70 AM
Al4B30Ni66 AM
Al4B34Ni62 AM
Al4B38Ni58 AM
Al4B42Ni54 AM
Al8B18Ni74 AM
Al8B22Ni70 AM
Al8B26Ni66 AM
Al8B30Ni62 AM
Al8B34Ni58 AM
Al8B38Ni54 AM
Al8B42Ni50 AM
Al12B18Ni70 AM
Al12B22Ni66 AM
Al12B26Ni62 AM
Al12B30Ni58 AM
Al12B34Ni54 AM
Al16B18Ni66 AM
Al16B22Ni62 AM
Al16B26Ni58 AM
Al16B30Ni54 AM
Al16B34Ni50 AM
Al16B38Ni46 AM
Al20B18Ni62 AM
Al20B22Ni58 AM
Al20B26Ni54 AM
Al20B30Ni50 AM
Al20B34Ni46 AM
Al20B40Ni40 AM
Al24B26Ni50 AM
Al12B14Ni74 AC
Al24B14Ni62 AC
Al24B18Ni58 AC
Al24B22Ni54 AC
Al28B22Ni50 AC
Al0B22Ni78 CR
Al0B26Ni74 CR
Al16B14Ni70 CR
Al20B14Ni66 CR
Al28B30Ni42 CR
Al85Ca10Co5 AM
Al89Ca11Co0 AM
Al90Ca10Co0 AM
Al91Ca9Co0 AM
Al85Ca10Cu5 AM
Al89Ca11Cu0 AM
Al90Ca10Cu0 AM
Al91Ca9Cu0 AM
Al87.5Ca7.5Fe5 AM
Al90Ca7.5Fe2.5 AM
Al85Ca10Fe5 AM
Al89Ca11Fe0 AM
Al90Ca10Fe0 AM
Al91Ca9Fe0 AM
Al85Ca10Fe5 AC
Al87.5Ca10Fe2.5 AC
Al90Ca10Fe0 AC
Al92.5Ca2.5Fe5 CR
Al92.5Ca7.5Fe0 CR
Al90Ca5Fe5 CR
Al10Ca60Ga30 AM
Al20Ca60Ga20 AM
Al30Ca60Ga10 AM
Al40Ca60Ga0 AM
Al15Ca70Mg15 AM
Al22.5Ca70Mg7.5 AM
Al30Ca70Mg0 AM
Al85Ca10Mg5 AM
Al89Ca11Mg0 AM
Al90Ca10Mg0 AM
Al91Ca9Mg0 AM
Al20Ca10Mg70 AM
Al85Ca10Ni5 AM
Al87.5Ca7.5Ni5 AM
Al90Ca7.5Ni2.5 AM
Al85Ca10Ni5 AM
Al89Ca11Ni0 AM
Al90Ca10Ni0 AM
Al91Ca9Ni0 AM
Al87.5Ca10Ni2.5 AC
Al90Ca10Ni0 AC
Al90Ca0Ni10 CR
Al92.5Ca2.5Ni5 CR
Al92.5Ca7.5Ni0 CR
Al80Ca10Ni10 CR
Al85Ca5Ni10 CR
Al87.5Ca2.5Ni10 CR
Al88.75Ca1.25Ni10 CR
Al90Ca5Ni5 CR
Al85Ca10Zn5 AM
Al89Ca11Zn0 AM
Al90Ca10Zn0 AM
Al91Ca9Zn0 AM
Al80Ce5Co15 AM
Al80Ce10Co10 AM
Al83Ce5Co12 AM
Al85Ce5Co10 AM
Al85Ce10Co5 AM
Al87Ce8Co5 AM
Al88Ce2Co10 AM
Al88Ce10Co2 AM
Al90Ce3Co7 AM
Al90Ce5Co5 AM
Al90Ce10Co0 AM
Al91Ce9Co0 AM
Al92Ce8Co0 AM
Al93Ce7Co0 AM
Al88Ce12Co0 AC
Al89Ce11Co0 AC
Al75Ce5Co20 CR
Al75Ce10Co15 CR
Al75Ce15Co10 CR
Al77Ce10Co13 CR
Al80Ce15Co5 CR
Al87Ce13Co0 CR
Al90Ce0Co10 CR
Al94Ce4Co2 CR
Al94Ce6Co0 CR
Al95Ce2Co3 CR
Al85Ce10Cr5 AM
Al87Ce10Cr3 AM
Al90Ce10Cr0 AM
Al91Ce9Cr0 AM
Al92Ce8Cr0 AM
Al93Ce7Cr0 AM
Al88Ce12Cr0 AM
Al89Ce8Cr3 AC
Al89Ce11Cr0 AC
Al80Ce10Cr10 AC
Al80Ce15Cr5 CR
Al83Ce10Cr7 CR
Al87Ce8Cr5 CR
Al87Ce13Cr0 CR
Al94Ce6Cr0 CR
Al93Ce2Cr5 CR
Al94Ce2Cr4 CR
Al75Ce10Cu15 AM
Al80Ce5Cu15 AM
Al80Ce10Cu10 AM
Al83Ce7Cu10 AM
Al85Ce5Cu10 AM
Al85Ce10Cu5 AM
Al87Ce8Cu5 AM
Al88Ce10Cu2 AM
Al90Ce10Cu0 AM
Al91Ce9Cu0 AM
Al92Ce8Cu0 AM
Al93Ce7Cu0 AM
Al6Ce10Cu84 AM
Al8Ce8Cu84 AM
Al8Ce10Cu82 AM
Al10Ce8Cu82 AM
Al12Ce8Cu80 AM
Al88Ce5Cu7 AC
Al88Ce12Cu0 AC
Al89Ce11Cu0 AC
Al90Ce5Cu5 AC
Al2Ce8Cu90 AC
Al2Ce10Cu88 AC
Al4Ce8Cu88 AC
Al4Ce10Cu86 AC
Al6Ce6Cu88 AC
Al6Ce8Cu86 AC
Al8Ce6Cu86 AC
Al10Ce4Cu86 AC
Al10Ce6Cu84 AC
Al70Ce10Cu20 CR
Al70Ce15Cu15 CR
Al75Ce5Cu20 CR
Al75Ce15Cu10 CR
Al80Ce15Cu5 CR
Al83Ce2Cu15 CR
Al87Ce13Cu0 CR
Al88Ce2Cu10 CR
Al94Ce6Cu0 CR
Al2Ce6Cu92 CR
Al4Ce4Cu92 CR
Al6Ce4Cu90 CR
Al10Ce2Cu88 CR
Al10Ce10Cu80 CR
Al12Ce6Cu82 CR
Al12Ce10Cu78 CR
Al14Ce6Cu80 CR
Al14Ce8Cu78 CR
Al14Ce10Cu76 CR
Al80Ce10Fe10 AM
Al83Ce7Fe10 AM
Al85Ce5Fe10 AM
Al85Ce10Fe5 AM
Al87Ce8Fe5 AM
Al88Ce2Fe10 AM
Al88Ce10Fe2 AM
Al90Ce3Fe7 AM
Al90Ce10Fe0 AM
Al91Ce9Fe0 AM
Al92Ce8Fe0 AM
Al93Ce7Fe0 AM
Al90Ce5Fe5 AM
Al75Ce15Fe10 AC
Al88Ce12Fe0 AC
Al89Ce11Fe0 AC
Al75Ce10Fe15 CR
Al80Ce15Fe5 CR
Al84Ce2Fe14 CR
Al87Ce13Fe0 CR
Al89Ce1Fe10 CR
Al94Ce2Fe4 CR
Al94Ce4Fe2 CR
Al94Ce6Fe0 CR
Al94Ce2Fe4 CR
Al85Ce10Mn5 AM
Al86Ce10Mn4 AM
Al88Ce10Mn2 AM
Al90Ce10Mn0 AM
Al91Ce9Mn0 AM
Al92Ce8Mn0 AM
Al93Ce7Mn0 AM
Al83Ce10Mn7 AC
Al87Ce8Mn5 AC
Al88Ce12Mn0 AC
Al89Ce6Mn5 AC
Al89Ce11Mn0 AC
Al80Ce10Mn10 CR
Al85Ce5Mn10 CR
Al87Ce13Mn0 CR
Al88Ce2Mn10 CR
Al94Ce6Mn0 CR
Al93Ce2Mn5 CR
Al94Ce2Mn4 CR
Al80Ce10Nb10 AM
Al83Ce7Nb10 AM
Al85Ce10Nb5 AM
Al87Ce8Nb5 AM
Al88Ce10Nb2 AM
Al90Ce8Nb2 AM
Al90Ce10Nb0 AM
Al91Ce9Nb0 AM
Al92Ce6Nb2 AM
Al92Ce8Nb0 AM
Al93Ce7Nb0 AM
Al77Ce10Nb13 AC
Al88Ce12Nb0 AC
Al89Ce11Nb0 AC
Al75Ce15Nb10 CR
Al80Ce15Nb5 CR
Al85Ce5Nb10 CR
Al87Ce13Nb0 CR
Al90Ce5Nb5 CR
Al94Ce6Nb0 CR
Al60Ce10Ni30 AM
Al65Ce5Ni30 AM
Al70Ce10Ni20 AM
Al75Ce5Ni20 AM
Al80Ce10Ni10 AM
Al84Ce6Ni10 AM
Al85Ce5Ni10 AM
Al85Ce6Ni9 AM
Al85Ce10Ni5 AM
Al86Ce6Ni8 AM
Al87Ce6Ni7 AM
Al87Ce13Ni0 AM
Al88Ce2Ni10 AM
Al88Ce12Ni0 AM
Al89Ce11Ni0 AM
Al90Ce10Ni0 AM
Al90Ce10Ni0 AM
Al91Ce9Ni0 AM
Al91Ce9Ni0 AM
Al92Ce8Ni0 AM
Al93Ce7Ni0 AM
Al88Ce12Ni0 AC
Al89Ce11Ni0 AC
Al80Ce15Ni5 CR
Al87Ce13Ni0 CR
Al90Ce0Ni10 CR
Al94Ce6Ni0 CR
Al61Ce10Ni29 AM
Al65Ce15Ni20 AM
Al70Ce10Ni20 AM
Al70Ce15Ni15 AM
Al75Ce5Ni20 AM
Al75Ce10Ni15 AM
Al80Ce5Ni15 AM
Al80Ce10Ni10 AM
Al82Ce8Ni10 AM
Al85Ce5Ni10 AM
Al85Ce10Ni5 AM
Al86Ce4Ni10 AM
Al87Ce5Ni8 AM
Al89Ce10Ni1 AM
Al90Ce10Ni0 AM
Al93Ce7Ni0 AM
Al70Ce20Ni10 AC
Al90Ce5Ni5 AC
Al60Ce20Ni20 CR
Al80Ce15Ni5 CR
Al88Ce12Ni0 CR
Al95Ce5Ni0 CR
Al85Ce5Ni10 AM
Al86Ce6Ni8 AM
Al25Ce55Ni20 AM
Al84Ce6Ni10 AM
Al91Ce5Ni4 AM
Al88Ce10V2 AM
Al90Ce10V0 AM
Al91Ce9V0 AM
Al92Ce8V0 AM
Al93Ce7V0 AM
Al88Ce8V4 AC
Al88Ce12V0 AC
Al89Ce6V5 AC
Al89Ce11V0 AC
Al80Ce10V10 CR
Al85Ce10V5 CR
Al85Ce13V2 CR
Al87Ce13V0 CR
Al94Ce6V0 CR
Al94Ce2V4 CR
Al86Co12Fe2 AM
Al87Co11Fe2 AM
Al86Co14Fe0 AC
Al87Co9Fe4 AC
Al88Co2Fe10 AC
Al88Co4Fe8 AC
Al88Co6Fe6 AC
Al88Co8Fe4 AC
Al88Co10Fe2 AC
Al88Co12Fe0 AC
Al90Co0Fe10 AC
Al90Co2Fe8 AC
Al90Co4Fe6 AC
Al90Co6Fe4 AC
Al90Co8Fe2 AC
Al90Co10Fe0 AC
Al92Co0Fe8 AC
Al92Co2Fe6 AC
Al92Co4Fe4 AC
Al92Co6Fe2 AC
Al92Co8Fe0 AC
Al94Co0Fe6 AC
Al94Co2Fe4 AC
Al94Co4Fe2 AC
Al94Co6Fe0 AC
Al96Co0Fe4 CR
Al96Co2Fe2 CR
Al96Co4Fe0 CR
Al98Co0Fe2 CR
Al98Co2Fe0 CR
Al100Co0Fe0 CR
Al84Co12Fe4 CR
Al84Co14Fe2 CR
Al86Co4Fe10 CR
Al86Co6Fe8 CR
Al86Co8Fe6 CR
Al86Co10Fe4 CR
Al86Co12Fe2 CR
Al88Co0Fe12 CR
Al88Co2Fe10 CR
Al88Co4Fe8 CR
Al88Co6Fe6 CR
Al42Co10Ge48 AM
Al57Co18Ge25 AM
Al69Co6Ge25 AM
Al78Co10Ge12 AM
Al25Co20La55 AM
Al88Co8Mn4 AC
Al88Co10Mn2 AC
Al88Co12Mn0 AC
Al90Co6Mn4 AC
Al90Co8Mn2 AC
Al90Co10Mn0 AC
Al92Co4Mn4 AC
Al92Co6Mn2 AC
Al92Co8Mn0 AC
Al94Co4Mn2 AC
Al94Co6Mn0 AC
Al94Co0Mn6 CR
Al94Co2Mn4 CR
Al96Co0Mn4 CR
Al96Co2Mn2 CR
Al96Co4Mn0 CR
Al98Co0Mn2 CR
Al98Co2Mn0 CR
Al100Co0Mn0 CR
Al84Co12Mn4 CR
Al84Co14Mn2 CR
Al86Co8Mn6 CR
Al86Co10Mn4 CR
Al86Co12Mn2 CR
Al86Co14Mn0 CR
Al88Co6Mn6 CR
Al90Co2Mn8 CR
Al90Co4Mn6 CR
Al92Co0Mn8 CR
Al92Co2Mn6 CR
Al87Co1Ni12 AM
Al88Co4Ni8 AM
Al88Co5Ni7 AM
Al87Co1Ni12 AM
Al87Co2Ni11 AM
Al88Co4Ni8 AM
Al88Co5Ni7 AM
Al84Co8Ni8 AC
Al85Co1Ni14 AC
Al85Co5Ni10 AC
Al85Co10Ni5 AC
Al86Co0Ni14 AC
Al86Co1Ni13 AC
Al86Co2Ni12 AC
Al86Co3Ni11 AC
Al86Co5Ni9 AC
Al86Co14Ni0 AC
Al87Co3Ni10 AC
Al87Co4Ni9 AC
Al87Co5Ni8 AC
Al88Co0Ni12 AC
Al88Co1Ni11 AC
Al88Co2Ni10 AC
Al88Co3Ni9 AC
Al88Co6Ni6 AC
Al88Co7Ni5 AC
Al88Co8Ni4 AC
Al88Co9Ni3 AC
Al88Co10Ni2 AC
Al88Co11Ni1 AC
Al88Co12Ni0 AC
Al89Co1Ni10 AC
Al89Co2Ni9 AC
Al89Co3Ni8 AC
Al89Co4Ni7 AC
Al89Co5Ni6 AC
Al89Co6Ni5 AC
Al90Co0Ni10 AC
Al90Co2Ni8 AC
Al90Co4Ni6 AC
Al90Co5Ni5 AC
Al90Co6Ni4 AC
Al90Co8Ni2 AC
Al90Co10Ni0 AC
Al91Co1Ni8 AC
Al91Co2Ni7 AC
Al92Co0Ni8 AC
Al92Co2Ni6 AC
Al92Co4Ni4 AC
Al92Co6Ni2 AC
Al92Co8Ni0 AC
Al94Co6Ni0 AC
Al84Co8Ni8 AC
Al85Co1Ni14 AC
Al85Co5Ni10 AC
Al85Co10Ni5 AC
Al86Co0Ni14 AC
Al86Co1Ni13 AC
Al86Co2Ni12 AC
Al86Co3Ni11 AC
Al86Co5Ni9 AC
Al86Co14Ni0 AC
Al87Co3Ni10 AC
Al87Co4Ni9 AC
Al87Co5Ni8 AC
Al88Co0Ni12 AC
Al88Co1Ni11 AC
Al88Co2Ni10 AC
Al88Co3Ni9 AC
Al88Co6Ni6 AC
Al88Co7Ni5 AC
Al88Co8Ni4 AC
Al88Co9Ni3 AC
Al88Co10Ni2 AC
Al88Co11Ni1 AC
Al88Co12Ni0 AC
Al89Co1Ni10 AC
Al89Co2Ni9 AC
Al89Co3Ni8 AC
Al89Co4Ni7 AC
Al89Co5Ni6 AC
Al89Co6Ni5 AC
Al90Co0Ni10 AC
Al90Co2Ni8 AC
Al90Co4Ni6 AC
Al90Co5Ni5 AC
Al90Co6Ni4 AC
Al90Co8Ni2 AC
Al90Co10Ni0 AC
Al91Co1Ni8 AC
Al91Co2Ni7 AC
Al92Co0Ni8 AC
Al92Co2Ni6 AC
Al92Co4Ni4 AC
Al92Co6Ni2 AC
Al92Co8Ni0 AC
Al94Co6Ni0 AC
Al94Co0Ni6 CR
Al94Co2Ni4 CR
Al94Co4Ni2 CR
Al96Co0Ni4 CR
Al96Co2Ni2 CR
Al96Co4Ni0 CR
Al98Co0Ni2 CR
Al98Co2Ni0 CR
Al94Co0Ni6 CR
Al94Co2Ni4 CR
Al94Co4Ni2 CR
Al96Co0Ni4 CR
Al96Co2Ni2 CR
Al96Co4Ni0 CR
Al98Co0Ni2 CR
Al98Co2Ni0 CR
Al49Co10Si41 AM
Al52Co23Si25 AM
Al71Co4Si25 AM
Al75Co10Si15 AM
Al0Co90Zr10 AM
Al2Co88Zr10 AM
Al5Co85Zr10 AM
Al25Co20Zr55 AM
Al38Cr10Ge52 AM
Al61Cr10Ge29 AM
Al60Cr10Ge30 AM
Al65Cr20Ge15 CR
Al25Cr20La55 AM
Al52Cr10Si38 AM
Al58Cr17Si25 AM
Al68Cr10Si22 AM
Al71Cr4Si25 AM
Al50Cr15Si35 AM
Al55Cr10Si35 AM
Al55Cr15Si30 AM
Al60Cr10Si30 AM
Al60Cr15Si25 AM
Al65Cr10Si25 AM
Al59Cr19Si22 CR
Al60Cr18Si22 CR
Al60Cr20Si20 CR
Al61Cr21Si18 CR
Al62Cr19Si19 CR
Al63Cr19Si18 CR
Al84Cr16Si0 CR
Al85Cr15Si0 CR
Al86Cr14Si0 CR
Al45Cr20Si35 CR
Al55Cr20Si25 CR
Al55Cr25Si20 CR
Al57Cr23Si20 CR
Al57Cr28Si15 CR
Al60Cr5Si35 CR
Al60Cr30Si10 CR
Al65Cr25Si10 CR
Al70Cr5Si25 CR
Al70Cr25Si5 CR
Al75Cr5Si20 CR
Al80Cr5Si15 CR
Al80Cr20Si0 CR
Al81Cr19Si0 CR
Al83Cr17Si0 CR
Al96Cr4Si0 CR
Al45Cr15Si40 CR
Al58Cr20Si22 CR
Al60Cr25Si15 CR
Al63Cr15Si22 CR
Al65Cr15Si20 CR
Al65Cr20Si15 CR
Al68Cr15Si17 CR
Al70Cr10Si20 CR
Al70Cr15Si15 CR
Al70Cr20Si10 CR
Al75Cr10Si15 CR
Al75Cr15Si10 CR
Al75Cr20Si5 CR
Al80Cr10Si10 CR
Al85Cr5Si10 CR
Al85Cr10Si5 CR
Al88Cr10Si2 CR
Al88Cr12Si0 CR
Al90Cr5Si5 CR
Al90Cr10Si0 CR
Al92Cr8Si0 CR
Al94Cr6Si0 CR
Al20Cr10Zr70 AM
Al75Ce20Fe5 AC
Al77Ce18Fe5 CR
Al64Ce23Fe13 CR
Al65Ce20Fe15 CR
Al67Ce18Fe15 CR
Al71Ce17Fe12 CR
Al60Ce20Fe20 CR
Al65Ce15Fe20 CR
Al60Ce23Fe17 CR
Al60Ce25Fe15 CR
Al65Ce25Fe10 CR
Al70Ce10Fe20 CR
Al70Ce15Fe15 CR
Al70Ce20Fe10 CR
Al65Ce20Fe15 CR
Al62.5Ce25Fe12.5 CR
Al62.5Ce25.5Fe12 CR
Al65Cu20Gd15 AM
Al10Cu25Hf65 AM
Al10Cu30La60 AM
Al15Cu25La60 AM
Al20Cu0La80 AM
Al20Cu20La60 AM
Al20Cu25La55 AM
Al20Cu40La40 AM
Al20Cu50La30 AM
Al25Cu10La65 AM
Al25Cu15La60 AM
Al25Cu20La55 AM
Al25Cu25La50 AM
Al25Cu35La40 AM
Al30Cu0La70 AM
Al30Cu10La60 AM
Al30Cu15La55 AM
Al30Cu20La50 AM
Al30Cu35La35 AM
Al30Cu40La30 AM
Al35Cu10La55 AM
Al35Cu15La50 AM
Al40Cu0La60 AM
Al50Cu0La50 AM
Al85Cu5La10 AM
Al90Cu0La10 AM
Al90Cu5La5 AM
Al10Cu20La70 AC
Al20Cu10La70 AC
Al20Cu60La20 AC
Al40Cu10La50 AC
Al40Cu20La40 AC
Al85Cu10La5 AC
Al0Cu20La80 CR
Al0Cu40La60 CR
Al0Cu50La50 CR
Al10Cu0La90 CR
Al10Cu10La80 CR
Al10Cu50La40 CR
Al10Cu60La30 CR
Al10Cu70La20 CR
Al10Cu80La10 CR
Al30Cu50La20 CR
Al30Cu60La10 CR
Al40Cu30La30 CR
Al40Cu40La20 CR
Al50Cu10La40 CR
Al50Cu20La30 CR
Al50Cu30La20 CR
Al50Cu40La10 CR
Al60Cu0La40 CR
Al70Cu0La30 CR
Al70Cu20La10 CR
Al80Cu0La20 CR
Al80Cu10La10 CR
Al25Cu20La55 AM
Al25Cu20La55 AM
Al25Cu50Mn25 CR
Al65Cu20Mn15 CR
Al76Cu8.5Mn15.5 CR
Al6Cu84Nd10 AM
Al6Cu86Nd8 AM
Al8Cu84Nd8 AM
Al10Cu82Nd8 AM
Al12Cu80Nd8 AM
Al2Cu88Nd10 AC
Al2Cu90Nd8 AC
Al2Cu92Nd6 AC
Al4Cu86Nd10 AC
Al4Cu88Nd8 AC
Al4Cu90Nd6 AC
Al6Cu88Nd6 AC
Al8Cu86Nd6 AC
Al10Cu84Nd6 AC
Al10Cu86Nd4 AC
Al12Cu82Nd6 AC
Al12Cu84Nd4 AC
Al4Cu92Nd4 CR
Al8Cu82Nd10 CR
Al8Cu88Nd4 CR
Al10Cu80Nd10 CR
Al10Cu88Nd2 CR
Al12Cu78Nd10 CR
Al14Cu76Nd10 CR
Al14Cu78Nd8 CR
Al14Cu80Nd6 CR
Al14Cu82Nd4 CR
Al0Cu35Ti65 AM
Al0Cu40Ti60 AM
Al0Cu45Ti55 AM
Al0Cu50Ti50 AM
Al0Cu55Ti45 AM
Al0Cu60Ti40 AM
Al0Cu73Ti27 AM
Al0Cu75Ti25 AM
Al5Cu50Ti45 AM
Al5Cu55Ti40 AM
Al5Cu60Ti35 AM
Al10Cu30Ti60 AM
Al10Cu30Ti60 AM
Al10Cu35Ti55 AM
Al10Cu50Ti40 AM
Al10Cu60Ti30 AM
Al15Cu25Ti60 AM
Al15Cu30Ti55 AM
Al15Cu35Ti50 AM
Al15Cu40Ti45 AM
Al15Cu50Ti35 AM
Al15Cu60Ti25 AM
Al20Cu30Ti50 AM
Al20Cu35Ti45 AM
Al20Cu50Ti30 AM
Al20Cu60Ti20 AM
Al25Cu35Ti40 AM
Al25Cu50Ti25 AM
Al25Cu55Ti20 AM
Al30Cu50Ti20 AM
Al35Cu50Ti15 AM
Al40Cu50Ti10 AM
Al50Cu40Ti10 AM
Al50Cu45Ti5 AM
Al55Cu40Ti5 AM
Al0Cu30Ti70 AC
Al0Cu80Ti20 AC
Al10Cu70Ti20 AC
Al20Cu20Ti60 AC
Al25Cu25Ti50 AC
Al25Cu30Ti45 AC
Al30Cu20Ti50 AC
Al30Cu30Ti40 AC
Al30Cu40Ti30 AC
Al35Cu40Ti25 AC
Al35Cu45Ti20 AC
Al40Cu30Ti30 AC
Al40Cu40Ti20 AC
Al45Cu35Ti20 AC
Al45Cu40Ti15 AC
Al55Cu35Ti10 AC
Al60Cu35Ti5 AC
Al0Cu10Ti90 CR
Al0Cu20Ti80 CR
Al10Cu0Ti90 CR
Al10Cu10Ti80 CR
Al10Cu20Ti70 CR
Al20Cu0Ti80 CR
Al20Cu10Ti70 CR
